Slide,ImageReference,rId,MediaFile
5,Рисунок 2,rId2,image1.png
6,Рисунок 3,rId2,image2.png
7,Рисунок 2,rId2,image3.png
8,Рисунок 3,rId2,image4.png
9,Рисунок 2,rId2,image5.png
10,Рисунок 3,rId2,image6.png
11,Рисунок 2,rId2,image7.png
12,Рисунок 4,rId2,image8.png
13,Рисунок 3,rId2,image9.png
14,Рисунок 2,rId2,image10.png
14,Рисунок 4,rId3,image11.png
14,Рисунок 5,rId4,image12.png
15,Рисунок 5,rId2,image13.png
15,Рисунок 4,rId3,image14.png
16,Рисунок 3,rId2,image15.png
16,Рисунок 4,rId3,image16.png
16,Рисунок 5,rId4,image17.png
17,Рисунок 4,rId2,image18.png
17,Рисунок 5,rId3,image19.png
17,Рисунок 2,rId4,image20.png
17,Рисунок 9,rId5,image21.png
18,Объект 3,rId2,image22.png
18,Рисунок 4,rId3,image23.png
18,Рисунок 5,rId4,image24.png
19,Объект 3,rId2,image25.png
19,Рисунок 4,rId3,image26.png
19,Рисунок 5,rId4,image27.png
20,Объект 3,rId2,image28.png
20,Рисунок 4,rId3,image29.png
20,Рисунок 5,rId4,image30.png
21,Image 8,rId2,image31.jpeg
21,Image 20,rId3,image32.jpeg
21,Рисунок 2,rId4,image33.png
